Date,Harga Ladang,Harga Borong ,Harga Runcit
12/29/2008,4.05,4.5,5.5
1/5/2009,3.95,4.35,5.35
1/12/2009,3.96,4.38,5.55
1/19/2009,4.25,4.7,5.85
1/26/2009,4.2,4.7,5.9
2/2/2009,4.15,4.65,5.55
2/9/2009,4,4.55,5.45
2/16/2009,3.9,4.4,5.3
2/23/2009,3.9,4.45,5.3
3/2/2009,3.95,4.45,5.35
3/9/2009,4.05,4.45,5.35
3/16/2009,4,4.45,5.4
3/23/2009,3.85,4.35,5.3
3/30/2009,3.5,4,5
4/6/2009,3.8,4.3,5.25
4/13/2009,3.9,4.4,5.15
4/20/2009,3.7,4.4,5.3
4/27/2009,3.85,4.4,5.3
5/4/2009,4.15,4.65,5.55
5/11/2009,4.05,4.55,5.5
5/18/2009,4.2,4.75,5.65
5/25/2009,4.2,4.7,5.6
6/1/2009,4.1,4.55,5.6
6/8/2009,4.15,4.6,5.65
6/15/2009,4.15,4.6,5.6
6/22/2009,4.1,4.55,5.55
6/29/2009,4.05,4.55,5.55
7/6/2009,4.1,4.6,5.7
7/13/2009,4.05,4.6,5.7
7/20/2009,4.05,4.65,5.7
7/27/2009,4.1,4.65,5.75
8/3/2009,4,4.65,5.75
8/10/2009,4.05,4.55,5.7
8/17/2009,4.1,4.8,6
8/24/2009,4.05,4.7,5.85
8/31/2009,4.1,4.8,5.9
9/7/2009,4.15,4.9,5.95
9/14/2009,4.25,4.95,6.1
9/21/2009,4.2,4.85,6
9/28/2009,4.1,4.9,6
10/5/2009,4.2,4.9,6
10/12/2009,4.2,4.9,6
10/19/2009,4.3,4.95,6.05
10/26/2009,4.15,4.9,6.1
11/2/2009,4.2,4.9,6
11/9/2009,4.15,4.85,5.95
11/16/2009,4.1,4.7,5.9
11/23/2009,4.05,4.65,5.85
11/30/2009,4.05,4.65,5.85
12/7/2009,3.7,4.6,5.8
12/14/2009,4,4.65,5.85
12/21/2009,4.05,4.8,5.9
12/28/2009,4.1,4.8,5.95
1/4/2010,4,4.6,5.85
1/11/2010,4,4.65,5.95
1/18/2010,4.15,4.9,6.05
1/25/2010,4.1,4.8,5.95
2/1/2010,3.95,4.8,5.9
2/8/2010,3.85,4.6,5.8
2/15/2010,3.8,4.35,5.75
2/22/2010,4.15,4.8,5.9
3/1/2010,4.15,4.7,5.95
3/8/2010,4.1,4.65,5.85
3/15/2010,4.1,4.8,6.1
3/22/2010,4.1,4.7,5.9
3/29/2010,4.15,4.65,5.9
4/5/2010,4.1,4.65,5.9
4/12/2010,4,4.65,5.85
4/19/2010,4.1,4.75,5.95
4/26/2010,4.1,4.75,5.85
5/3/2010,4.1,4.8,5.85
5/10/2010,4.15,4.8,5.85
5/17/2010,4.2,4.9,5.95
5/24/2010,4.25,4.85,5.95
5/31/2010,4.3,4.8,5.9
6/7/2010,4.25,4.95,6
6/14/2010,4.3,4.95,6
6/21/2010,4.4,5.1,6.05
6/28/2010,4.3,5.05,6.15
7/5/2010,4.35,5.05,6.15
7/12/2010,4.3,4.95,6.1
7/19/2010,4.25,4.9,6
7/26/2010,4.05,4.8,5.9
8/2/2010,4.3,4.85,5.95
8/9/2010,4.4,4.95,6.05
8/16/2010,4.45,5.05,6.15
8/23/2010,4.45,5.05,6.2
8/30/2010,4.45,5.05,6.15
9/6/2010,4.4,5.05,6.15
9/13/2010,4.45,5.1,6.15
9/20/2010,4.35,5.05,6.15
9/27/2010,4.35,5.05,6.15
10/4/2010,4.4,5.05,6.15
10/11/2010,4.45,5.1,6.15
10/18/2010,4.4,5,6.1
10/25/2010,4.3,4.85,6
11/1/2010,4.25,4.9,6.05
11/8/2010,4.25,4.95,6.05
11/15/2010,4.3,4.95,6.1
11/22/2010,4.25,4.9,6.1
11/29/2010,4.15,4.85,5.9
12/6/2010,4.15,4.7,5.8
12/13/2010,4.15,4.75,5.9
12/20/2010,4.15,4.85,5.95
12/27/2010,4.15,4.75,5.85
1/3/2011,4.25,4.8,5.8
1/10/2011,4.35,4.85,5.85
1/17/2011,4.45,5.05,6.05
1/24/2011,4.55,5.15,6.15
1/31/2011,4.45,5.05,6.1
2/7/2011,4.55,5.05,6.1
2/14/2011,4.65,5.2,6.1
2/21/2011,4.65,5.2,7.1
2/28/2011,4.5,5.05,6.55
3/7/2011,4.5,5.05,6.55
3/14/2011,4.7,5.25,6.8
